id;legal_name;trade_name;tax_id;party_type;email;phone;active;deleted_at
1;across truly queimar;meh doente;into around;COMPANY;"0GD[@k7`c.[RF%%";(77) 2730-1566;false;2026-04-08T08:39:03
2;áspero safely ouvir;drat;thoughXXXXX;COMPANY;"<e0S&@*vvj..K";(74) 27883-3318;false;2026-04-08T08:05:34
3;resumir odiar;amidst on;impaciente ew;PERSON;"k8@9rpR.,KG|";(38) 15504-6382;false;2026-04-08T04:08:20
4;juros painfully whereas;by caminhão;frankly inconsciente;PERSON;"4t&T@sEc.a8";(98) 54733-3140;false;2026-04-08T15:48:25
5;difícil manteiga;trator oh eek;boo alto coolly;PERSON;"+|@7El&5.lx$U'";(40) 48935-1921;true;2026-04-08T12:53:52
6;pfft yahoo;too difícil aboard;provided aw via;COMPANY;"F-/@cKM!O.c<";+55 (54) 3321-5277;true;2026-04-08T10:54:16
7;how boo;following;preocupadoX;COMPANY;"DG^b%@[<FKx.?";+55 (94) 2923-4805;true;2026-04-08T20:31:49
8;vírus beneath;organizado huzzah afore;onto irmão lâmpada;PERSON;"E81N9E@mQ|.F";+55 (47) 3218-1421;false;2026-04-08T05:07:01
9;helpfully noisily geez;whereas extrovertido;ganhar irritably nov;PERSON;"W:VJ1-@CC`d.lr3_|";+55 (24) 2934-6443;true;2026-04-08T17:20:39
10;bolo;joelho abaft;luaXXXXXXXX;PERSON;"Gp]<h@_1r./_]";(21) 43640-6287;false;2026-04-08T12:28:35
11;respirar;patinete forenenst madly;ahXXXXXXXXX;COMPANY;"]j2-r@Ov)t.8W]";(51) 8288-2654;true;2026-04-08T16:49:19
12;brilhar alto nuvem;diagnosticar till;tratar crossly;COMPANY;"tpU3,L@?i.b$";(26) 96963-7714;true;2026-04-08T13:57:20
13;whoa;midst;and supposing;PERSON;",&KJ@Tat;.(E";(24) 19483-3216;false;2026-04-09T00:17:57
14;triangular whenever;finally energético resistente;while beloX;COMPANY;"+@s-5.(+2\";(08) 0284-8647;false;2026-04-08T23:35:01
15;whereas;edredom;zowieXXXXXX;PERSON;"5(Y@x,O4b.oCV{B";(50) 4847-3431;true;2026-04-08T05:31:16
16;officially whose rede;desinstalar suco yippee;largo eek whenever;PERSON;"#@G,Xo;6.zsZ%";+55 (17) 4489-6446;true;2026-04-08T21:32:08
17;frear coolly;mau;perna via fully;COMPANY;".R7@/b;.G}B";(39) 0456-0681;false;2026-04-08T20:05:56
18;unlike but;boohoo encaminhar yet;inconsciente diligen;COMPANY;"ePc@.W'.P";+55 (03) 0200-8852;true;2026-04-08T17:40:13
19;calça;paciente dentista awkwardly;abertoXXXXX;PERSON;"*s58E@tm0Cbc.Z";(99) 7964-7278;false;2026-04-08T13:20:05
20;triumphantly knottily;céu questionably;inasmuch consequentl;COMPANY;"/2j@])Q.uKgMG";(63) 2913-5380;true;2026-04-08T23:38:25
21;inasmuch within;molhado ouch;streamingXX;COMPANY;"utbGxx@Uvt!*.)";+55 (48) 6218-9881;false;2026-04-08T11:40:43
22;out;canoa;normalXXXXX;PERSON;"#|<@Hv.+Q3=I+";+55 (19) 7236-7203;true;2026-04-08T13:47:41
23;estranho alto abaft;or;crescerXXXX;COMPANY;"Y=S@2.i:[5>0";(86) 30973-3717;true;2026-04-08T19:58:50
24;excepting escuro the;against whose sans;difícil finally;PERSON;";]*@$2%gM.]t4R";(61) 13981-9648;false;2026-04-08T07:02:50
25;consultar;deliberately liso ha;drat huzzah beyond;PERSON;"r-s+(@d.;P";+55 (98) 7130-6499;true;2026-04-08T11:14:28
26;presidir dentista;oddly partir;times mochila;PERSON;")@s-6SFm.(e<#Px";(21) 7785-7658;false;2026-04-08T12:23:22
27;quieto huzzah yuck;gasoso on;eek narizXX;PERSON;"6^BV[>@e,d.YA}<w";+55 (80) 3443-3745;true;2026-04-08T18:38:55
28;estojo through absent;for sair down;invisível praia escr;PERSON;"w@&.HQ2^";+55 (59) 3088-8791;false;2026-04-08T08:29:27
29;caderno whenever;café;even even abraçar;COMPANY;"a0@2<#vBZ.6PB";(11) 04481-8030;false;2026-04-08T20:48:55
30;playfully;queasily digitalizar except;macacoXXXXX;PERSON;"F'lPw|@f#.E=";(60) 0935-5614;true;2026-04-08T09:35:30
