id;legal_name;trade_name;tax_id;party_type;email;phone;active;deleted_at
1;woot like;skate ator;trovãoXXXXX;PERSON;"5}VNS@e.6&0:";(13) 77925-6297;false;2026-04-08T12:11:46
2;dobrar searchingly eek;largo inasmuch resfriar;neveXXXXXXX;COMPANY;"I]@Wz_x>.s7[LX4";(94) 17560-1238;false;2026-04-08T16:21:20
3;kiddingly;criativo supermercado;praiaXXXXXX;PERSON;"9YL#k/@^PzE$.:c";+55 (96) 1382-3830;false;2026-04-08T12:27:40
4;descer longingly;confiante;hmXXXXXXXXX;COMPANY;"U'r|J@y<._,";(76) 73067-5463;true;2026-04-08T15:19:50
5;dirigir;phew bah why;arrogantly optimisti;COMPANY;"M8uZ@h.C-ri";+55 (83) 4829-0304;false;2026-04-08T13:29:44
6;finally from far;unaccountably;when dívida;COMPANY;"_6;k{0@Mx.(]6=";(44) 71433-6424;false;2026-04-08T11:50:14
7;while since;but gadzooks correctly;but phooeyX;COMPANY;"fT^@H.y";(17) 4850-6263;true;2026-04-08T00:36:48
8;gosh excluir ha;curioso often táxi;testarXXXXX;COMPANY;"JD@Sw5.*";(02) 6276-1920;true;2026-04-08T20:14:50
9;throughout unabashedly recklessly;correr drat;pfft whyXXX;COMPANY;"p@?l(9.*";(44) 77600-2998;false;2026-04-08T14:32:48
10;jaggedly;subir yowza;aha compartilhar bef;COMPANY;"lBj=!(@I.Gs>=W";(73) 19521-2725;true;2026-04-08T21:15:27
11;via software but;throughout;queimar along except;PERSON;"F[!@eDQY.f.K";(02) 8837-3675;false;2026-04-08T17:40:44
12;woot oceano;beijar amongst;aboard toward unabas;COMPANY;"J!@bpB1.Zj";+55 (64) 2325-7304;false;2026-04-08T04:51:45
13;pace now;ganhar corajoso;towardsXXXX;COMPANY;">m;Ml@Jy.BQc2Lr";(64) 01137-9804;false;2026-04-08T21:07:34
14;who drat treinar;truthfully anti nor;correr upon;COMPANY;"9|@;;XKoq.H>m->%";(50) 8938-7118;true;2026-04-08T10:23:06
15;yum;after;mãe butXXXX;COMPANY;"am@z'Z)%>.IzM6)";+55 (16) 8338-6119;true;2026-04-08T10:26:57
16;by;pão quieto doce;cartãoXXXXX;PERSON;"7bAG<@yVyO.0pe>rH";(96) 1540-6844;true;2026-04-08T09:11:16
17;bah interestingly while;toward impaciente often;elogiarXXXX;COMPANY;"#oE&@Z.IF";+55 (71) 4287-4807;false;2026-04-08T14:38:23
18;midst;er calmo;confiarXXXX;COMPANY;"#)@H.7y^ty";+55 (04) 5444-3847;false;2026-04-08T10:32:07
19;the;kindheartedly regarding exactly;broadly though pfft;COMPANY;"~@h=Ls<.Isk";(39) 6553-5194;true;2026-04-08T21:27:38
20;calça;foolishly espirrar but;tartarugaXX;COMPANY;".H''Y@[FqWVa.LKv]";(16) 0708-5389;true;2026-04-08T18:27:50
21;século;loudly inwardly unnecessarily;indeed as truthfully;COMPANY;"`4xdpW@NB]7.va";+55 (35) 4521-4795;false;2026-04-08T18:22:28
22;ack under;ha uh-huh;whether versus;PERSON;"+o+v@,_.k";(45) 43032-9923;false;2026-04-08T06:16:29
23;familiar;as;boo innocently;PERSON;"=a.{GR@2.w^E";(07) 84765-7109;true;2026-04-08T06:54:18
24;for;gentil when examinar;modelar haX;PERSON;"U'@z.8g9|";(06) 2797-3657;false;2026-04-08T15:12:56
25;wrongly huzzah voltar;disposto;caro refletir that;PERSON;",fO@M5KBk.^ugwG'";(65) 9000-8749;true;2026-04-08T13:53:07
26;salvar cabeça;presidir barco;utterly login;PERSON;"%x@+U.I/hK(";(26) 80706-6060;false;2026-04-08T14:57:32
27;ugh;towards that;per whether voltar;PERSON;"+MSTN@(f!b`.a";(65) 38762-1738;false;2026-04-08T16:50:15
28;awkwardly;rudely redondo tecido;chorarXXXXX;COMPANY;"Zv0|@EV0.%hPFN";(94) 5613-1118;false;2026-04-08T15:48:42
29;dinheiro bloquear;democracia unethically;alongXXXXXX;COMPANY;"D@?V5,.9";(94) 9675-8752;false;2026-04-08T04:09:36
30;shrilly;after yet;granizo fatally;PERSON;"}`R@Is.]~VJ";(43) 0102-6686;false;2026-04-08T12:32:02
